Date,CPIAUCSL,DTWEXBGS,RIFSPFF_N.D,PCEPI,Close,High,Low,Volume,US3Y,US10Y,HIGH,CLOSE,sen_svc_positive,sen_svc_neutral,sen_svc_negative,sen_trans_positive,sen_trans_neutral,sen_trans_negative
2020-11-20,261.6292,113.4932,0.08,105.5195,3557.5400390625,3581.22998046875,3556.85009765625,4236370000.0,0.21,0.83,23.73,23.7,12,6,1,8,10,1
2020-11-21,261.66700000000003,113.4932,0.08,105.535,3557.5400390625,3581.22998046875,3556.85009765625,4236370000.0,0.21,0.83,23.73,23.7,2,6,4,6,6,0
2020-11-22,261.70480000000003,113.4932,0.08,105.5505,3557.5400390625,3581.22998046875,3556.85009765625,4236370000.0,0.21,0.83,23.73,23.7,3,4,3,3,6,1
2020-11-23,261.74260000000004,113.759,0.08,105.566,3577.590087890625,3589.81005859375,3552.77001953125,5057550000.0,0.22,0.86,23.96,22.66,8,7,2,2,15,0
2020-11-24,261.7804,113.4361,0.08,105.58149999999999,3635.409912109375,3642.31005859375,3594.52001953125,6280290000.0,0.22,0.88,22.48,21.64,5,9,5,6,13,0
2020-11-25,261.8182,113.1871,0.08,105.597,3629.64990234375,3635.5,3617.760009765625,4910440000.0,0.21,0.88,22.5,21.25,9,6,3,7,11,0
2020-11-26,261.856,113.1871,0.08,105.6125,3629.64990234375,3635.5,3617.760009765625,4910440000.0,0.21,0.88,22.5,21.25,7,4,5,6,8,2
2020-11-27,261.8938,113.1871,0.08,105.628,3638.35009765625,3644.31005859375,3629.330078125,2778390000.0,0.2,0.84,21.6,20.84,6,3,4,5,8,0
2020-11-28,261.9316,113.1871,0.08,105.6435,3638.35009765625,3644.31005859375,3629.330078125,2778390000.0,0.2,0.84,21.6,20.84,3,5,2,4,6,0
2020-11-29,261.9694,113.1871,0.08,105.65899999999999,3638.35009765625,3644.31005859375,3629.330078125,2778390000.0,0.2,0.84,21.6,20.84,1,7,0,3,5,0
2020-11-30,262.0072,113.2308,0.09,105.6745,3621.6298828125,3634.179931640625,3594.389892578125,6308410000.0,0.19,0.84,22.89,20.57,5,5,4,4,9,1
2020-12-01,262.045,112.8122,0.09,105.69,3662.449951171875,3678.449951171875,3645.8701171875,5418480000.0,0.22,0.92,20.92,20.77,9,4,4,9,8,0
2020-12-02,262.0641612903226,112.6174,0.09,105.70267741935484,3669.010009765625,3670.9599609375,3644.840087890625,5041250000.0,0.22,0.95,21.25,21.17,9,4,4,8,8,1
